K,d,mean_acc,mean_acc_ci_low,mean_acc_ci_high,mean_rs_z_a,mean_rs_z_a_ci_low,mean_rs_z_a_ci_high,mean_kla_z_l,mean_kla_z_l_ci_low,mean_kla_z_l_ci_high,mean_kla_a_l,mean_kla_a_l_ci_low,mean_kla_a_l_ci_high
32,128,83.530280303955,82.584564952850,84.446823139190,0.761825819881,0.754644977338,0.768045384816,0.326937609054,0.317483658336,0.336504622352,0.431183649050,0.431183649050,0.431183649050
32,256,83.973412322998,83.308715801239,84.564624004364,0.859358809288,0.856492482107,0.862507544588,0.369852121571,0.365511881080,0.373721328201,0.431183649050,0.431183649050,0.431183649050
32,512,85.243720245361,84.726364116669,85.745936584473,0.920320277352,0.919336614733,0.921327776623,0.392170995100,0.390381776245,0.393801686876,0.431183649050,0.431183649050,0.431183649050
32,1024,85.110781097412,84.253691082001,85.952731323242,0.958134759508,0.957513631797,0.958818668612,0.415552252848,0.412769593407,0.418384069956,0.431183649050,0.431183649050,0.431183649050
32,2048,85.243721771240,84.194607543945,86.159527587891,0.978378161996,0.978164999499,0.978592338248,0.422034266021,0.420742222814,0.423616849172,0.431183649050,0.431183649050,0.431183649050
32,4096,85.612996673584,84.933528137207,86.292465209961,0.989013827792,0.988889189439,0.989158704265,0.426925103193,0.425568223020,0.428355800111,0.431183649050,0.431183649050,0.431183649050
32,8192,85.524370574951,84.859302539826,86.115583763123,0.994406748792,0.994356074484,0.994460806780,0.429030007046,0.428318388393,0.429831033346,0.431183649050,0.431183649050,0.431183649050
32,16384,85.494828033447,84.800588989258,86.145124053955,0.997216007503,0.997183249489,0.997247151788,0.430030779379,0.429673497993,0.430401876043,0.431183649050,0.431183649050,0.431183649050
32,32768,85.376661682129,84.741506958008,86.086041259766,0.998617119210,0.998602044963,0.998626476427,0.430631349164,0.430440771372,0.430828762751,0.431183649050,0.431183649050,0.431183649050
64,4,53.146231842041,50.620383062363,55.450885400772,0.235176943986,0.210077559752,0.256324199317,0.105071863892,0.088796472924,0.119718016574,0.433494165065,0.433494165065,0.433494165065
64,8,64.076809310913,62.274001312256,65.834933481216,0.335365449511,0.320622901472,0.350975511049,0.151953084669,0.142001002850,0.161837550402,0.433494165065,0.433494165065,0.433494165065
64,16,72.806500244141,71.668759918213,73.840843200684,0.465900720334,0.440597993767,0.488665238912,0.209021871947,0.197443750434,0.220577821155,0.433494165065,0.433494165065,0.433494165065
64,32,79.719350433350,78.034712219238,81.359674854279,0.606379655092,0.593894951482,0.617293964982,0.258423249536,0.247864642835,0.268048817682,0.433494165065,0.433494165065,0.433494165065
64,64,80.014770507812,77.045421581268,82.673558044433,0.740859750456,0.733439531735,0.748755321143,0.324014593840,0.315917119385,0.333296005851,0.433494165065,0.433494165065,0.433494165065
64,128,82.688328552246,81.270308666229,83.810928344726,0.843129965177,0.836946512014,0.849754994741,0.362525079694,0.353998473885,0.371575430907,0.433494165065,0.433494165065,0.433494165065
64,256,83.737074279785,83.146232585907,84.416911315918,0.913796677250,0.911666484389,0.916011885720,0.393693578584,0.388827348124,0.398180165504,0.433494165065,0.433494165065,0.433494165065
64,512,84.505168914795,84.002952556610,84.963072204590,0.952613904860,0.951740052154,0.953498899601,0.408154623217,0.406077028008,0.410433587000,0.433494165065,0.433494165065,0.433494165065
64,1024,85.199408721924,84.371860504150,86.086041240692,0.975817360188,0.975336720461,0.976268240893,0.424608207131,0.421592967837,0.427533131963,0.433494165065,0.433494165065,0.433494165065
64,2048,85.391432189942,84.578655223847,86.278063964844,0.987619969521,0.987458613221,0.987818971200,0.428727648834,0.427216071582,0.430412194106,0.433494165065,0.433494165065,0.433494165065
64,4096,85.066469573975,84.430945587158,85.628138732910,0.993751059097,0.993647390789,0.993871793502,0.431183152597,0.429593877803,0.433088230220,0.433494165065,0.433494165065,0.433494165065
64,8192,85.184637451172,84.593795757294,85.746307373047,0.996811240136,0.996761942348,0.996861523829,0.432571898852,0.431760116807,0.433455167569,0.433494165065,0.433494165065,0.433494165065
64,16384,85.199407196045,84.475255565643,85.923559551239,0.998424485148,0.998393312635,0.998455168780,0.432829546794,0.432487074317,0.433245452585,0.433494165065,0.433494165065,0.433494165065
64,32768,85.051697540283,84.578654499054,85.553912353515,0.999218894344,0.999207736819,0.999228100802,0.433112844119,0.432756526442,0.433510170266,0.433494165065,0.433494165065,0.433494165065
