source,line_label,mechanism,mechanism_label,x_eps,x_eps_label,x_index,n,candidate_id,verify_rank,x_steps,learning_rate,weight_decay,dropout,tao2,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_acc_ci_low,test_acc_ci_high,source_job_dir,point_id,bootstrap_key,bootstrap_val_key
sim,SIM-HDS,hds,HDS,4,4,8,20,227,1,64,0.01,0.01,0.5,none,84.20974807739258,3.2826440736065767,82.8508113861084,4.473072718271603,80.77510949134827,84.40971108436585,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=4/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_e91ff88e2da0423c,sim|hds|4,sim|hds|4
sim,SIM-HDS,hds,HDS,5,5,9,20,250,5,64,0.0001,0.01,0.25,none,84.28360290527344,1.4951859985463987,84.37222900390626,1.1163219714801305,83.8995559501648,84.83751678466797,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=5/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_6932465f59619ca0,sim|hds|5,sim|hds|5
sim,SIM-HDS,hds,HDS,6,6,10,20,226,3,64,0.01,0.01,0.25,none,84.40177192687989,2.6748929350593715,83.31609954833985,2.6572656719206282,82.08253211975098,84.18759079933167,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=6/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_820a448c0f3d9738,sim|hds|6,sim|hds|6
sim,SIM-HDS,hds,HDS,7,7,11,20,240,3,64,0.001,0.01,0.75,none,83.83308601379395,1.8870439021084426,83.42688179016113,1.5189601011191727,82.77677041053772,84.05502165794373,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=7/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_0bf5956d72a24b86,sim|hds|7,sim|hds|7
sim,SIM-HDS,hds,HDS,8,8,12,20,212,5,32,0.0001,0.001,0.5,none,83.58197822570801,1.747913879123961,83.74445991516113,1.3885239174478259,83.1536182308197,84.32071573257447,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=8/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_a99c45daed18105e,sim|hds|8,sim|hds|8
sim,SIM-HDS,hds,HDS,9,9,13,20,192,1,32,0.01,0.01,0.75,none,85.3397331237793,1.3245257402531836,84.15066375732422,1.1846931990549263,83.6706050682068,84.6454937171936,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=9/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_45ca31ffa4be25f3,sim|hds|9,sim|hds|9
sim,SIM-HDS,hds,HDS,10,10,14,20,227,2,64,0.01,0.01,0.5,none,84.93352890014648,2.651002866934916,84.05465202331543,2.5854219332653803,82.8282852268219,84.96325719833374,historical/paper_experiments/figure4_final/figure4_sim.yaml/dataset=cora/feature=sim/sim_reference_eps=10/mechanism=hds/x_eps=inf/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_b1080ff57062aabc,sim|hds|10,sim|hds|10
ldp,LDP-MBM,mbm,MBM,0.00001,1e-5,0,20,91,5,4,0.001,0.001,0.25,none,77.9246669769287,2.398802623071397,76.89069404602051,2.456978962319452,75.7976367855072,77.94700852394104,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=1e-05/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_4b0ddcf8d60e5837,ldp|mbm|0.00001,ldp|mbm|0.00001
ldp,LDP-MBM,mbm,MBM,0.0001,1e-4,1,20,88,4,4,0.001,0.0001,0.25,none,77.87296867370605,2.3274307265329,77.00147743225098,2.270233543179726,76.0192035484314,77.9322387599945,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.0001/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_81cc6b1060fb4296,ldp|mbm|0.0001,ldp|mbm|0.0001
ldp,LDP-MBM,mbm,MBM,0.001,0.001,2,20,94,4,4,0.001,0.01,0.25,none,77.93205261230469,2.3833982172531702,76.89807929992676,2.612342103294583,75.74593810081481,77.91008109092712,historical/paper_experiments/figure4_final/figure4_ori.yaml/dataset=cora/feature=raw/mechanism=mbm/x_eps=0.001/m=best/norm=false/smoother=hoa/backbone=sage/use_nfr=false,f3_e33fd73b28fa18c8,ldp|mbm|0.001,ldp|mbm|0.001
