source,backbone,dataset,x_eps,x_index,line_label,pipeline,smoother,feature_dim,candidate_id,x_steps,learning_rate,weight_decay,dropout,tao2,test_acc_mean,test_acc_ci_low,test_acc_ci_high,test_acc_std,test_acc_min,test_acc_max,val_acc_mean,val_acc_ci_low,val_acc_ci_high,n,source_job_dir,actual_verify_rank,ci_method,point_id,bootstrap_key,bootstrap_val_key
main_add_10seed,gat,facebook,0.1,2,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,193,32,0.001,0.0,0.25,none,89.3698829650879,88.93195928573608,89.77763593673707,0.7387307355001618,88.02064514160156,90.29904174804688,89.74190292358398,89.15094451904297,90.39707330703735,10,,,,f1_7e67745f4b282990,main|gat|figure3_pipeline1|facebook|0.1,main-val|gat|figure3_pipeline1|facebook|0.1
main_add_10seed,gat,facebook,1.0,3,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,166,16,0.001,0.01,0.25,none,92.8106086730957,92.6450253868103,93.00111185073852,0.31187423286094107,92.38162994384766,93.46742248535156,93.2983268737793,93.01691108703614,93.61516496658325,10,,,,f1_1edf63a600959440,main|gat|figure3_pipeline1|facebook|1.0,main-val|gat|figure3_pipeline1|facebook|1.0
main_add_10seed,gat,facebook,10.0,9,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,84,4,0.01,0.01,0.75,none,93.58490600585938,93.40325727462769,93.75582910537719,0.3067227024516803,92.96903228759766,93.98362731933594,93.86436462402344,93.57066650390625,94.18534181594849,10,,,,f1_29eb8502b71b7d64,main|gat|figure3_pipeline1|facebook|10.0,main-val|gat|figure3_pipeline1|facebook|10.0
main_add_10seed,gat,facebook,2.0,4,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,119,8,0.01,0.01,0.5,none,93.30544662475586,93.145247631073,93.46569232940674,0.2692251530274592,92.86222839355467,93.69882202148438,93.78782424926757,93.53501945495606,94.07262344360352,10,,,,f1_a3105810a18052af,main|gat|figure3_pipeline1|facebook|2.0,main-val|gat|figure3_pipeline1|facebook|2.0
main_add_10seed,gat,facebook,3.0,5,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,119,8,0.01,0.01,0.5,none,93.26272659301758,93.08294830322265,93.44259538650512,0.30969905291522026,92.70203399658205,93.85902404785156,93.75756530761718,93.53146184921265,94.00324960708618,10,,,,f1_fc1ec200eb8bf07d,main|gat|figure3_pipeline1|facebook|3.0,main-val|gat|figure3_pipeline1|facebook|3.0
main_add_10seed,gat,facebook,4.0,6,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,119,8,0.01,0.01,0.5,none,93.35172653198242,93.20220640182495,93.51548461914062,0.2636479403246998,92.91563415527344,93.87682342529295,93.79850540161132,93.49052179336547,94.0816121673584,10,,,,f1_350d9a4a6596092d,main|gat|figure3_pipeline1|facebook|4.0,main-val|gat|figure3_pipeline1|facebook|4.0
main_add_10seed,gat,facebook,6.0,7,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,119,8,0.01,0.01,0.5,none,93.31434783935546,93.15058822631836,93.47988739013672,0.27166605317457837,92.95122528076172,93.77002716064452,93.81986465454102,93.62753704071045,94.04774730682374,10,,,,f1_c8329f149061ea10,main|gat|figure3_pipeline1|facebook|6.0,main-val|gat|figure3_pipeline1|facebook|6.0
main_add_10seed,gat,facebook,8.0,8,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,84,4,0.01,0.01,0.75,none,93.4638671875,93.18258337020875,93.74163562774658,0.4709280184349309,92.86222839355467,94.03702545166016,93.79316558837891,93.55282188415528,94.05126420974732,10,,,,f1_910d245b3facfd75,main|gat|figure3_pipeline1|facebook|8.0,main-val|gat|figure3_pipeline1|facebook|8.0
main_add_10seed,gat,lastfm,0.001,0,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,127,8,0.001,0.001,0.25,none,80.74534149169922,79.32792280197144,82.15146715164184,2.4165241230669268,77.07510375976562,83.79446411132812,81.49068145751953,80.48560024261474,82.46767194747925,10,,,,f1_fcef4049b53bd936,main|gat|figure3_pipeline1|lastfm|0.001,main-val|gat|figure3_pipeline1|lastfm|0.001
main_add_10seed,gat,lastfm,0.01,1,$\mathsf{LPGNN}$,figure3_pipeline1,kprop,,121,8,0.001,0.0,0.25,none,82.24731674194337,81.46767267227173,82.99279939651488,1.3875099354522333,79.89836120605469,83.62506866455078,83.07735595703124,82.41064294815064,83.66473541259765,10,,,,f1_f498b3de5563b038,main|gat|figure3_pipeline1|lastfm|0.01,main-val|gat|figure3_pipeline1|lastfm|0.01
