point_id,figure_id,dataset,backbone,seed,val_acc,test_acc,source_job_id
f5_f951697edaf93ddb,5,cora,sage,12346,75.03692626953125,72.08271789550781,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12347,75.03692626953125,76.21861267089844,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12348,74.88921356201172,75.62776947021484,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12349,78.28656005859375,78.87740325927734,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12350,71.04874420166016,70.90103149414062,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12351,82.57015991210938,81.68389892578125,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12352,79.4682388305664,80.35450744628906,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12353,80.35450744628906,82.57015991210938,f00df2f9c90b
f5_f951697edaf93ddb,5,cora,sage,12354,78.58197784423828,80.79763793945312,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12345,81.09305572509766,84.19497680664062,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12346,82.57015991210938,79.61595153808594,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12347,78.58197784423828,79.911376953125,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12348,80.6499252319336,82.86558532714844,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12349,82.86558532714844,81.53618621826172,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12350,81.68389892578125,80.94534301757812,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12351,84.78582000732422,81.68389892578125,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12352,83.16100311279297,85.96749877929688,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12353,82.27474212646484,83.75184631347656,f00df2f9c90b
f5_ffb1daa05575a41c,5,cora,sage,12354,82.42245483398438,83.4564208984375,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12345,82.57015991210938,84.0472640991211,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12346,84.49039459228516,83.16100311279297,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12347,84.0472640991211,84.93353271484375,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12348,84.34268951416016,84.0472640991211,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12349,83.8995590209961,83.60413360595703,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12350,82.42245483398438,82.27474212646484,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12351,85.37666320800781,83.3087158203125,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12352,83.8995590209961,86.26292419433594,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12353,82.86558532714844,84.78582000732422,f00df2f9c90b
f5_dce3426c1360b5f4,5,cora,sage,12354,84.49039459228516,86.26292419433594,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12345,82.86558532714844,85.37666320800781,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12346,84.0472640991211,81.09305572509766,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12347,83.3087158203125,83.01329040527344,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12348,80.50221252441406,82.7178726196289,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12349,84.63810729980469,83.60413360595703,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12350,81.83161163330078,83.01329040527344,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12351,84.93353271484375,85.52436828613281,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12352,83.16100311279297,85.08123779296875,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12353,81.68389892578125,82.27474212646484,f00df2f9c90b
f5_9527fb431175a6e2,5,cora,sage,12354,79.76366424560547,84.19497680664062,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12345,82.86558532714844,84.93353271484375,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12346,86.7060546875,85.52436828613281,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12347,85.81979370117188,85.52436828613281,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12348,85.96749877929688,85.67208099365234,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12349,84.93353271484375,83.16100311279297,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12350,82.42245483398438,82.7178726196289,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12351,84.78582000732422,85.08123779296875,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12352,84.49039459228516,85.67208099365234,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12353,85.08123779296875,84.93353271484375,f00df2f9c90b
f5_53654420e2268b15,5,cora,sage,12354,84.78582000732422,87.74002838134766,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12345,82.42245483398438,85.81979370117188,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12346,86.26292419433594,85.08123779296875,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12347,86.41063690185547,84.78582000732422,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12348,85.67208099365234,86.1152114868164,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12349,84.78582000732422,84.63810729980469,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12350,83.75184631347656,84.19497680664062,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12351,84.34268951416016,84.78582000732422,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12352,85.81979370117188,85.96749877929688,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12353,84.78582000732422,83.75184631347656,f00df2f9c90b
f5_48a7c1a6529acf8d,5,cora,sage,12354,84.93353271484375,85.37666320800781,f00df2f9c90b
f5_9a66750b0cdb54fc,5,cora,sage,12345,77.54800415039062,79.911376953125,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12346,76.21861267089844,74.59379577636719,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12347,78.72969055175781,79.3205337524414,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12348,76.36632537841797,78.28656005859375,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12349,80.50221252441406,79.61595153808594,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12350,74.44608306884766,70.6056137084961,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12351,74.74150848388672,72.52584838867188,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12352,79.02510833740234,80.79763793945312,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12353,74.88921356201172,77.69571685791016,dc4c12b779aa
f5_9a66750b0cdb54fc,5,cora,sage,12354,78.43426513671875,78.13884735107422,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12345,76.95716094970703,79.911376953125,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12346,76.51403045654297,74.59379577636719,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12347,78.72969055175781,78.28656005859375,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12348,76.51403045654297,78.28656005859375,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12349,80.35450744628906,79.61595153808594,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12350,74.59379577636719,70.90103149414062,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12351,74.29837799072266,72.37813568115234,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12352,79.02510833740234,80.79763793945312,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12353,75.03692626953125,77.69571685791016,dc4c12b779aa
f5_b7b5164110b1ddf6,5,cora,sage,12354,78.43426513671875,77.99113464355469,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12345,77.10487365722656,80.79763793945312,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12346,75.92318725585938,75.48005676269531,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12347,78.43426513671875,76.51403045654297,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12348,76.6617431640625,77.84342956542969,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12349,80.35450744628906,79.76366424560547,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12350,74.59379577636719,71.49187469482422,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12351,74.15066528320312,73.264404296875,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12352,79.17282104492188,80.6499252319336,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12353,75.77548217773438,77.4002914428711,dc4c12b779aa
f5_bfc563202482a480,5,cora,sage,12354,78.28656005859375,77.54800415039062,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12345,77.2525863647461,79.61595153808594,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12346,76.36632537841797,74.74150848388672,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12347,78.87740325927734,79.17282104492188,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12348,76.51403045654297,78.72969055175781,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12349,79.4682388305664,80.20679473876953,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12350,74.88921356201172,71.19645690917969,dc4c12b779aa
f5_e501e72ebf0133fc,5,cora,sage,12351,73.70753479003906,74.88921356201172,dc4c12b779aa
