point_id,figure_id,dataset,backbone,seed,val_acc,test_acc
f1_0a6cf97fc0f2149a,1,citeseer,gat,12354,67.54808044433594,68.26923370361328
f1_10998bc085481102,1,citeseer,gat,12345,69.71154022216797,68.14904022216797
f1_10998bc085481102,1,citeseer,gat,12346,69.35096740722656,66.34615325927734
f1_10998bc085481102,1,citeseer,gat,12347,70.55288696289062,67.1875
f1_10998bc085481102,1,citeseer,gat,12348,70.91346740722656,68.02884674072266
f1_10998bc085481102,1,citeseer,gat,12349,67.90865325927734,67.90865325927734
f1_10998bc085481102,1,citeseer,gat,12350,67.78846740722656,67.1875
f1_10998bc085481102,1,citeseer,gat,12351,70.0721206665039,68.5096206665039
f1_10998bc085481102,1,citeseer,gat,12352,70.3125,68.02884674072266
f1_10998bc085481102,1,citeseer,gat,12353,71.75481414794922,68.14904022216797
f1_10998bc085481102,1,citeseer,gat,12354,68.02884674072266,69.35096740722656
f1_ea5305dfa0d11aed,1,cora,gat,12345,78.43426513671875,80.6499252319336
f1_ea5305dfa0d11aed,1,cora,gat,12346,79.911376953125,78.87740325927734
f1_ea5305dfa0d11aed,1,cora,gat,12347,78.13884735107422,79.02510833740234
f1_ea5305dfa0d11aed,1,cora,gat,12348,76.95716094970703,76.0708999633789
f1_ea5305dfa0d11aed,1,cora,gat,12349,76.95716094970703,74.59379577636719
f1_ea5305dfa0d11aed,1,cora,gat,12350,76.51403045654297,73.264404296875
f1_ea5305dfa0d11aed,1,cora,gat,12351,76.0708999633789,79.02510833740234
f1_ea5305dfa0d11aed,1,cora,gat,12352,76.21861267089844,74.0029525756836
f1_ea5305dfa0d11aed,1,cora,gat,12353,71.49187469482422,75.77548217773438
f1_ea5305dfa0d11aed,1,cora,gat,12354,77.99113464355469,78.58197784423828
f1_8894c0933c9ef4d2,1,cora,gat,12345,77.2525863647461,79.02510833740234
f1_8894c0933c9ef4d2,1,cora,gat,12346,80.20679473876953,80.94534301757812
f1_8894c0933c9ef4d2,1,cora,gat,12347,78.87740325927734,77.99113464355469
f1_8894c0933c9ef4d2,1,cora,gat,12348,80.79763793945312,78.13884735107422
f1_8894c0933c9ef4d2,1,cora,gat,12349,81.83161163330078,75.18463897705078
f1_8894c0933c9ef4d2,1,cora,gat,12350,76.51403045654297,75.92318725585938
f1_8894c0933c9ef4d2,1,cora,gat,12351,73.412109375,74.59379577636719
f1_8894c0933c9ef4d2,1,cora,gat,12352,77.2525863647461,76.51403045654297
f1_8894c0933c9ef4d2,1,cora,gat,12353,77.2525863647461,78.87740325927734
f1_8894c0933c9ef4d2,1,cora,gat,12354,80.50221252441406,81.68389892578125
f1_90e160a32e29a924,1,cora,gat,12345,79.3205337524414,79.76366424560547
f1_90e160a32e29a924,1,cora,gat,12346,81.53618621826172,79.4682388305664
f1_90e160a32e29a924,1,cora,gat,12347,84.19497680664062,85.52436828613281
